address,city,type,bedrooms,bathrooms,sqft,price,year_built,lot_size
123 Oak St,Austin,House,4,3,2500,450000,2015,8000
456 Maple Ave,Austin,House,3,2,1800,375000,2018,6500
789 Pine Rd,Austin,Condo,2,2,1200,285000,2020,0
321 Elm Dr,Austin,House,5,4,3200,625000,2019,10000
654 Cedar Ln,Austin,Townhouse,3,2.5,1650,340000,2021,2500
147 Birch St,San Francisco,Condo,2,1,950,875000,2017,0
258 Willow Ave,San Francisco,House,3,2,1600,1250000,2015,4000
369 Spruce Rd,San Francisco,Condo,1,1,650,625000,2019,0
741 Ash Dr,San Francisco,House,4,3,2200,1850000,2016,5000
852 Palm Ln,San Francisco,Townhouse,2,2,1100,925000,2020,1500
963 Redwood St,Seattle,House,3,2,1900,525000,2017,7000
159 Douglas Ave,Seattle,Condo,2,2,1100,425000,2021,0
357 Fir Rd,Seattle,House,4,3,2400,685000,2018,8500
486 Hemlock Dr,Seattle,Townhouse,3,2.5,1550,475000,2019,3000
753 Alder Ln,Seattle,Condo,1,1,750,365000,2020,0
951 Cherry St,Miami,House,4,3,2800,520000,2016,9000
842 Cypress Ave,Miami,Condo,2,2,1350,385000,2019,0
735 Magnolia Rd,Miami,House,5,4,3500,775000,2020,11000
624 Hickory Dr,Miami,Townhouse,3,2.5,1700,425000,2021,2800
513 Poplar Ln,Miami,Condo,2,2,1250,395000,2018,0
402 Walnut St,Denver,House,3,2,1750,465000,2017,6800
291 Beech Ave,Denver,Condo,2,1,1000,325000,2020,0
180 Sycamore Rd,Denver,House,4,3,2300,585000,2019,7500
876 Cottonwood Dr,Denver,Townhouse,3,2.5,1600,425000,2021,3200
765 Juniper Ln,Denver,House,5,4,3100,725000,2018,9500
234 Aspen St,Boston,Condo,2,2,1100,625000,2019,0
345 Dogwood Ave,Boston,House,3,2,1650,785000,2016,5500
456 Hawthorn Rd,Boston,Condo,1,1,700,485000,2021,0
567 Linden Dr,Boston,House,4,3,2400,925000,2017,6000
678 Mulberry Ln,Boston,Townhouse,2,2,1200,565000,2020,2000
789 Olive St,Portland,House,3,2,1850,485000,2018,7200
890 Pecan Ave,Portland,Condo,2,2,1150,365000,2020,0
901 Plum Rd,Portland,House,4,3,2350,595000,2019,8000
112 Chestnut Dr,Portland,Townhouse,3,2.5,1580,425000,2021,2900
223 Laurel Ln,Portland,Condo,1,1,800,295000,2017,0
334 Ivy St,Nashville,House,4,3,2600,425000,2016,8500
445 Holly Ave,Nashville,Condo,2,2,1300,285000,2019,0
556 Vine Rd,Nashville,House,3,2,1900,385000,2020,7000
667 Rose Dr,Nashville,Townhouse,3,2.5,1650,325000,2021,3000
778 Lily Ln,Nashville,House,5,4,3300,565000,2018,10500
889 Daisy St,Charlotte,House,3,2,1800,345000,2017,6500
990 Tulip Ave,Charlotte,Condo,2,1,1050,245000,2020,0
101 Violet Rd,Charlotte,House,4,3,2500,465000,2019,8200
212 Orchid Dr,Charlotte,Townhouse,3,2.5,1700,325000,2021,2700
323 Azalea Ln,Charlotte,Condo,2,2,1200,275000,2018,0
434 Jasmine St,Atlanta,House,4,3,2400,385000,2016,7800
545 Peony Ave,Atlanta,Condo,2,2,1250,265000,2019,0
656 Sage Rd,Atlanta,House,3,2,1750,345000,2020,6800
767 Basil Dr,Atlanta,Townhouse,3,2.5,1600,295000,2021,2600
878 Mint Ln,Atlanta,House,5,4,3200,525000,2017,9800
